DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_C
7978667,1,1,210.48559798514
7965501,1,2,172.728258490446
7723070,1,1,197.937722235138
7965491,1,1,197.937722235138
7723117,1,1,323.761472384754
7881054,1,1,92.6692286040084
7772916,1,2,347.024497933816
7881069,1,1,83.5794182768671
7889076,1,1,97.8500559572136
7772884,1,2,621.992623589511
7772883,1,2,579.616335799456
7780483,1,3,415.421097418616
7772882,1,1,666.584970505318
7881059,1,1,229.948920143754
7780499,1,1,1008.27900670666
7881044,1,3,252.342001163251
7889076,1,3,97.8500559572136
7881058,1,3,211.780341119802
7881053,1,1,177.480410240007
7881052,1,2,101.921638068515
7880999,1,3,166.686060130278
7881066,1,2,182.842949593014
7881056,1,1,136.259800894411
7881032,1,1,237.92401891893
7881022,1,1,341.058635367143
7881018,1,1,717.124909442116
7881030,1,1,625.648339653003
7881016,1,1,785.33901469732
7881012,1,1,335.30041391958
7780504,1,1,475.944897622983
7881021,1,1,630.850900455583
7881024,1,2,717.124909442116
7780506,1,1,279.977649516461
7881014,1,3,371.10210275814
7881023,1,1,398.405827313075
7881010,1,1,220.660051622912
7881028,1,1,574.620358860047
7780542,1,1,336.551579236383
7881029,1,3,220.660051622912
7780506,1,3,279.977649516461
7881025,1,1,388.977455937346
7881017,1,1,882.64020649165
7780528,1,1,293.044476058373
7881011,1,1,630.2952398106
7881028,1,2,574.620358860047
7881012,1,3,335.30041391958
7881019,1,1,630.850900455583
7992336,1,1,473.193211061007
7763340,1,1,540.600560848286
7763296,1,1,419.072613767433
7992344,1,1,350.828513078288
7992330,1,1,362.970750978301
7992360,1,1,283.476551103507
7763280,1,3,724.219753092941
7992351,1,1,340.285079042158
7992349,1,1,283.476551103507
7763313,1,1,328.375855437174
7763285,1,2,511.196207987861
7992337,1,1,397.966342418884
7763323,1,1,169.259559303772
7992311,1,1,209.548023885844
7992310,1,2,266.907643131015
7763293,1,1,262.722417692164
7763300,1,2,347.336221746076
7763286,1,1,106.562646760375
7992301,1,1,230.883179624329
7763325,1,1,304.386446484944
7992299,1,1,209.548023885844
7992312,1,1,358.980460597464
8023677,1,1,146.955557256947
7647043,1,1,192.352807323386
8023654,1,1,365.195286082664
8023686,1,1,320.43026449474
8023742,1,1,236.266606928865
7647086,1,2,242.736397288124
8023679,1,1,146.955557256947
8023702,1,1,219.151395268493
8023664,1,2,156.881590804373
7647105,1,2,267.010037016936
7647102,1,1,174.825782027071
8023655,1,1,183.085219584353
8023694,1,1,188.94285933036
8023666,1,1,389.675580690654
8023696,1,1,146.191546875237
8023673,1,1,146.955557256947
8023674,1,2,94.3931941472832
8023670,1,1,128.648561250209
8023664,1,1,156.881590804373
8023669,1,1,202.750566844816
7647062,1,1,265.911471014663
7647069,1,2,173.92931214355
8023710,1,1,182.537946696416
8023731,1,1,425.78189444279
7647099,1,1,203.7921203309
8023715,1,2,182.537946696416
7647113,1,2,531.907771880642
7647113,1,3,531.907771880642
7647113,1,5,531.907771880642
7647067,1,2,176.820864496616
8023708,1,1,190.162837839437
7647096,1,1,131.227520375059
7905447,1,1,155.056155624088
7905426,1,1,317.331889262413
7690856,1,1,338.105967832243
7690835,1,1,458.600740363016
7690826,1,1,956.629942213166
7905455,1,1,295.232445171565
7905482,1,1,220.666986280001
7905430,1,1,227.72701937497
7905431,1,1,228.127660755477
7905435,1,1,329.039478369081
7690891,1,1,229.668272472977
7905425,1,3,276.195468865528
7905491,1,1,283.208400028061
7905425,1,1,276.195468865528
7905418,1,3,1043.14546267649
7905462,1,1,425.443505508239
7690865,1,1,229.668272472977
7905425,1,2,276.195468865528
7690884,1,1,362.043087804506
